PostNumber,SymptomName,PostLink,Title,Author,Total_Replies,Total_Weight
11,"['Gonorrhea', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'mitral annulus calcification', 'Lung Diseases, Obstructive', 'Bronchiectasis', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Disease', 'Tired', 'Fatigue', 'Macule', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-vaccine-reaction-with-medicine/,are there medicines that should be paused before covid vaccine?,olduncledave @olduncledave,20,1004.5454545454545
12,"['Gonorrhea', 'Geroderma osteodysplastica', 'Vaccinia', 'Communicable Diseases', ""Little's Disease"", 'Anemia, Diamond-Blackfan', 'Influenza', 'STUVE-WIEDEMANN SYNDROME', 'Cancer-Associated Retinopathy', 'Elliptocytosis, Hereditary', 'Wiskott-Aldrich Syndrome', 'Fatigue', 'Hyperextension', 'Pain', 'Breathing abnormally deep', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-and-feeling-helpless/,covid-19 and feeling helpless,marjou @marjou,28,1404.1666666666667
13,"['nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/should-mayo-patients-report-their-vaccine-to-mayo/,should mayo patients report their vaccine to mayo?,laurie @roch,6,303.84615384615387
14,"['Communicable Diseases', 'Pelvic Organ Prolapse', 'Carpal Tunnel Syndrome', 'Chronic articular rheumatism', 'Bronchiectasis', 'Lung diseases', 'Kartagener Syndrome', 'Chronic disease', 'Acute gastroenteritis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Oculocerebrocutaneous syndrome', 'Infantile Neuroaxonal Dystrophy', 'Feline urological syndrome', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Pain, Postoperative', 'Nervousness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/help-find-a-vaccine-for-covid-19/,help find a vaccine for covid-19,"merry, volunteer mentor @merpreb",58,2903.5714285714284
15,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Sexually Transmitted Diseases', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Vaccines allergy', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'Disease', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-vaccine-re-prioritization-in-california-type-2-diabetes/,covid vaccine re-prioritization in california - type 2 diabetes,yakoubou @yakoubou,4,203.33333333333334
16,"['Gonorrhea', 'Geroderma osteodysplastica', 'Temporohyoid osteoarthropathy', ""Little's Disease"", 'Common Cold', 'Lung Problem', 'Lung Diseases, Obstructive', 'Pulmonary congestion', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'Acute gastroenteritis', 'Chest Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/83-yr-old-mom-all-alone/,83 yr old mom all alone,beast66 @beast66,36,1803.125
17,"['Gonorrhea', 'Geroderma osteodysplastica', 'Autoimmune Diseases', 'Mesenteric Panniculitis', 'nan']",https://connect.mayoclinic.org/discussion/mesenteric-panniculitis-and-the-covid-vaccine/,mesenteric panniculitis and the covid vaccine,beckymel @beckymel,2,102.94117647058823
18,"['Gonorrhea', 'Geroderma osteodysplastica', 'Multi-infarct dementia', ""Little's Disease"", 'MOHR-TRANEBJAERG SYNDROME', 'Cancer-Associated Retinopathy', 'Hyperostosis, Diffuse Idiopathic Skeletal', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Seizures', 'Muscle Rigidity', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/new-information-on-masks/,"new information on (clear) masks, for people with hearing loss",arrowshooter @arrowshooter,42,2102.777777777778
19,"['Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-vaccination/,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.63157894736844
20,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-long-will-i-continue-to-test-positive/,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.5
21,"['Dysosteosclerosis', 'nan', 'nan', 'nan', 'Dysosteosclerosis', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid19-id-cards/,covid19 id cards,flcipriano44 @flcipriano44,6,302.3809523809524
22,"['Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/lock-down-from-covid-and-depression/,lock down from covid and depression,susu2 @susu2,22,1102.2727272727273
23,"['Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/double-up-your-masks/,double up your masks,"merry, volunteer mentor @merpreb",56,2802.1739130434785
24,"['Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan', 'Epilepsy', 'Infantile Neuroaxonal Dystrophy', 'Coronavirus Infections', 'Gray Platelet Syndrome', 'Seizures', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid-19-vaccination/,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.0833333333333
25,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Myocardial Infarction', 'Transient Ischemic Attack', 'Wiskott-Aldrich Syndrome', 'Coronavirus Infections', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-long-will-i-continue-to-test-positive/,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.0
26,"['Dysosteosclerosis', 'nan', 'nan', 'nan', 'Dysosteosclerosis', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/covid19-id-cards/,covid19 id cards,flcipriano44 @flcipriano44,6,301.9230769230769
27,"['Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Pelvic Organ Prolapse', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Wolf-Hirschhorn Syndrome', 'Acute gastroenteritis', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Athabaskan brainstem dysgenesis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'slight fever', 'Signs and Symptoms', 'Pain, Postoperative', 'side pain', 'Feeling Sick', 'Asthenia', 'Back Pain', 'Stiffness', 'Pain', 'Clouded consciousness', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/lock-down-from-covid-and-depression/,lock down from covid and depression,susu2 @susu2,22,1101.851851851852
28,"['Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Communicable Diseases', 'Exanthema', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Liver Abscess, Amebic', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Sexually Transmitted Diseases', 'Punctate inner choroidopathy', 'Dysosteosclerosis', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'prickly feeling', 'Suffocated', 'Right Flank Pain', 'Malaise', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Circling gait', 'Pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/double-up-your-masks/,double up your masks,"merry, volunteer mentor @merpreb",56,2801.785714285714
29,"['Somnambulism', 'Digestive System Disorders', 'Pulmonary Stenosis', 'Agenesis of corpus callosum', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Psoriasis', 'Influenza', 'Wolf-Hirschhorn Syndrome', 'Cancer-Associated Retinopathy', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Acute gastroenteritis', 'Myocardial Ischemia', 'Coronavirus Infections', 'Gonorrhea', 'Geroderma osteodysplastica', 'furuncle', 'Punctate inner choroidopathy', 'Goldberg-Shprintzen megacolon syndrome', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Disease', 'Seizures', 'Signs and Symptoms', 'Blackout - symptom', 'Abdominal bloating', 'Flushing', 'Sympathetically independent pain', 'Nervousness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/humor-during-the-coronavirus-crisis/,humor and fun chat diversions during the coronavirus crisis: join us,imallears @imallears,200,10001.724137931034
30,"['Congenital Thrombotic Thrombocytopenic Purpura', 'Pallister-Hall syndrome', 'Infantile Neuroaxonal Dystrophy', 'Poliomyelitis', 'Dysosteosclerosis', 'Chronic otitis media', 'Lung Diseases, Obstructive', 'Symmetrical dyschromatosis of extremities', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://connect.mayoclinic.org/discussion/how-you-can-get-information-about-covid-19-vaccine-in-your-locality/,how to get information about covid vaccine in your area [links only],"sue, volunteer mentor @sueinmn",24,1201.6666666666667
31,"['Dysosteosclerosis', 'Simian Acquired Immunodeficiency Syndrome', 'nan']",https://connect.mayoclinic.org/discussion/no-covid-vaccines-in-mayo-waiting-for-supplies/,no covid vaccines in mayo. waiting for supplies.,naiviv @naiviv,2,101.61290322580645
