PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
11,https://patient.info//forums/discuss/cholesterol-on-covid-19-756645,are there medicines that should be paused before covid vaccine?,olduncledave @olduncledave,20,1004.545455,"['Myopathy', 'Coronavirus Infections', 'Muscle Weakness', None, None]","[None, None, None, 'DRUGS', 'Therapeutic procedure']",[None]
12,https://patient.info//forums/discuss/i-wonder-whether-i-am-considered-vaccine-compromised-biontec-moderna--756545,covid-19 and feeling helpless,marjou @marjou,28,1404.166667,"[None, None, None, None, None]","['heart - aortic valve', 'on anti-coagulants', None, None, None]",[None]
13,https://patient.info//forums/discuss/oxygen-requirement-has-gone-up-750438,should mayo patients report their vaccine to mayo?,laurie @roch,6,303.8461538,"['Communicable Diseases', 'Fatigue', None, None, None, None, None, None, None]","[None, None, 'Administration of antibiotic', 'Continuous Positive Airway Pressure', 'Detection', 'Therapeutic procedure', None, None, None]",[None]
14,https://patient.info//forums/discuss/loss-of-smell-and-taste-5-days-after-nasal-congestion-and-a-very-bad-throat--756254,help find a vaccine for covid-19,"merry, volunteer mentor @merpreb",58,2903.571429,"['Ache', 'Feeling Sick', 'Coughing', None]","[None, None, None, None]",[None]
15,https://patient.info//forums/discuss/permanent-dizzyness-756364,covid vaccine re-prioritization in california - type 2 diabetes,yakoubou @yakoubou,4,203.3333333,"['Disease', 'Seizures', 'Dizziness']","[None, None, None]",['Dizziness']
16,https://patient.info//forums/discuss/loss-of-taste-and-smell-due-to-covid-19-756317,83 yr old mom all alone,beast66 @beast66,36,1803.125,"['Ageusia', 'Coughing', 'Nose symptoms', None]","[None, None, None, 'Isolation procedure']",[None]
17,https://patient.info//forums/discuss/is-covid-vaccine-safe-for-allergy-sufferers--755730,mesenteric panniculitis and the covid vaccine,beckymel @beckymel,2,102.9411765,"['Chronic Fatigue Syndrome', 'Allergic disposition', 'Sjogren-Larsson Syndrome', 'Influenza', 'Burning Mouth Syndrome', 'Asthma', 'Urticaria', 'Anaphylaxis (non medication)', 'Pruritus', 'Burning mouth (sensation)', 'Lip swelling', 'Dyspnea', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Obstetric Delivery', 'Incision and drainage', 'Special Diet Therapy', None, None, None]",[None]
18,https://patient.info//forums/discuss/covid-positive-with-digestive-system-problems-750183,"new information on (clear) masks, for people with hearing loss",arrowshooter @arrowshooter,42,2102.777778,"['Renal carnitine transport defect', 'Common Cold', 'Cyclic neutropenia', 'Seizures', 'side pain', 'Malaise', 'Fatigue', 'Headache', 'Blood in stool', 'Rhinorrhea', 'Ageusia', 'Constipation', 'Nausea', 'Hunger', 'Abdominal bloating', 'Congestion of throat', 'Weakness', 'Coughing', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Electroconvulsive Therapy', None, None, None, None, None, None]",[None]
19,https://patient.info//forums/discuss/intense-headaches-during-covid-recovery-756195,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.6315789,"['Encephalitis', 'Rhinorrhea', 'Headache', 'Coughing']","[None, None, None, None]",['Coughing']
20,https://patient.info//forums/discuss/how-did-your-symptoms-start--753618,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.5,"['Pharyngitis', 'Common Cold', 'Conjunctivitis', 'Acute contagious conjunctivitis', 'Coronavirus Infections', 'Chest Pain', 'BODY ACHE', 'Fatigue', 'Headache', 'Pain', 'Exhaustion', 'Rhinorrhea', 'Arthralgia', 'Nasal congestion (finding)', 'Watery eyes', 'Chest tightness', 'Nausea', 'Sore Throat', 'Weakness', 'Dry cough', 'Coughing', 'Cold sweat', 'Night sweats', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Interventional procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', None]",[None]
21,https://patient.info//forums/discuss/how-does-shortness-of-breath-actually-feel-like--756005,covid19 id cards,flcipriano44 @flcipriano44,6,302.3809524,"['Breathing abnormally deep', 'Dyspnea']","[None, None]",['Dyspnea']
22,https://patient.info//forums/discuss/swollen-cracked-tongue-755990,lock down from covid and depression,susu2 @susu2,22,1102.272727,"['Arthritis', 'Fatigue', 'Myalgia', None]","[None, None, None, None]",[None]
23,https://patient.info//forums/discuss/hurts-to-breathe-in-755785,double up your masks,"merry, volunteer mentor @merpreb",56,2802.173913,"['Coronavirus Infections', 'Chest Pain', 'Coughing', 'Pain', 'Mastodynia']","[None, None, None, None, None]",['Mastodynia']
24,https://patient.info//forums/discuss/high-fibrinogen-and-ferritin-levels-with-covid-755814,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.0833333,"['Communicable Diseases', 'Headache', 'Coughing', None]","[None, None, None, 'blood medications']",[None]
25,https://patient.info//forums/discuss/vaccination-centres-unsafe--755424,how long will i continue to test positive?,zrkat21 @zrkat21,10,502,"['Nervousness', 'Clouded consciousness', None, None, None, None]","[None, None, 'Vaccination', 'Discussion (procedure)', None, None]",[None]
26,https://patient.info//forums/discuss/lingering-symptoms-after-3-weeks-stomach-pains-nausea-753889,covid19 id cards,flcipriano44 @flcipriano44,6,301.9230769,"['Influenza', 'IMMUNODEFICIENCY, COMMON VARIABLE, 10', 'Ache', 'Signs and Symptoms', 'Abdominal Pain', 'Feeling Sick', 'Upset stomach', 'Fatigue', 'Pain', 'Muscle Cramp', 'Mastodynia', 'Exhaustion', 'Feeling of loss of feeling', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Constipation', 'Chest tightness', 'Nausea', 'Dizziness', 'Has tingling sensation', 'Coughing', 'Stomach cramps (finding)', 'Fatigue - symptom', 'Sore to touch', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
27,https://patient.info//forums/discuss/post-covid-odd-smells-and-tastes-753797,lock down from covid and depression,susu2 @susu2,22,1101.851852,"['flu symptoms', 'Tension Headache', 'Common Cold', 'Staring', 'cold symptoms', 'Influenza', 'Dysosmia', 'Anosmia', 'Feeling Sick', 'taste sour', 'Headache', 'Syncope', 'Dyspnea', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, 'Aromatherapy', 'Shampooing (action)', None]",[None]
28,https://patient.info//forums/discuss/elevated-heart-rate-with-possible-covid-dangerous--755416,double up your masks,"merry, volunteer mentor @merpreb",56,2801.785714,"['Communicable Diseases', 'Pharyngitis', 'Nasal congestion (finding)', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",[None]
29,https://patient.info//forums/discuss/kidney-infection-755255,humor and fun chat diversions during the coronavirus crisis: join us,imallears @imallears,200,10001.72414,"['Communicable Diseases', 'Infection of kidney', 'Ache', 'Dizziness', 'Headache', 'Syncope', 'Back Pain', 'Pain', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",[None]
30,https://patient.info//forums/discuss/mom-positive-with-covid-brain-fog-memory-issues-750695,how to get information about covid vaccine in your area [links only],"sue, volunteer mentor @sueinmn",24,1201.666667,"['Communicable Diseases', 'BODY ACHE', 'Exanthema', 'Dizziness', 'Coughing', None, None, None]","[None, None, None, None, None, 'Physical therapy exercises', None, None]",[None]
31,https://patient.info//forums/discuss/dizziness-and-body-aches-help--754367,no covid vaccines in mayo. waiting for supplies.,naiviv @naiviv,2,101.6129032,"['BODY ACHE', 'out (of) breath', 'Dizziness', 'Weakness', 'Headache', None]","[None, None, None, None, None, 'Cardiac Lead Procedure']",[None]
32,https://patient.info//forums/discuss/10-months-after-having-covid-and-still-ill-752301,interactions between sars-cov-2 variants?,armando @bolso1,10,501.5625,"['Urticaria', 'BODY ACHE', 'Sore Throat', 'Dizziness', 'Mastodynia', None, None]","[None, None, None, None, None, None, None]",[None]
33,https://patient.info//forums/discuss/tested-negative-but-post-test-symptoms-got-worse-755304,copd and the covid 19 vaccine,ppr @ppr,8,401.5151515,"['Pharyngitis', 'Asthenopia', 'Sore eye', 'Tired', 'Pain', 'Tremor', 'Chest pressure', 'Arthralgia', 'Anosmia', 'Sore Throat', 'Pruritus', 'Throbbing Headache', 'Coughing', 'Dyspnea', 'Sore to touch', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Exercise Pain Management', None, None, None, None]",[None]
34,https://patient.info//forums/discuss/just-tested-positive-754268,"can thymectomized patients receive vaccinations, specifically covid19?",pdietrich @pdietrich,14,701.4705882,"['Coronavirus Infections', 'Lower respiratory tract infection', 'Rhinorrhea', 'Ache', 'Burning sensation in eye', 'Watery eyes', 'Fatigue', 'Pruritus', 'Burning sensation', 'Catch - Finding of sensory dimension of pain', 'Headache', 'Coughing', 'Sore to touch', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, 'Self Monitoring', None, None, None, None, None]",[None]
35,https://patient.info//forums/discuss/i-have-mental-disorder-after-covid-19-for-first-time-is-anyone-had-the-same-and-how-can-l-help-myself--755053,crohn's and covid 19 shots is it safe,chaswach @chaswach,12,601.4285714,"['Hypertensive disease', 'Diabetes Mellitus', None, None, None]","[None, None, 'Therapeutic procedure', None, None]",[None]
36,https://patient.info//forums/discuss/feeling-sick-and-shakes-after-eating-755216,vaccines,"merry, volunteer mentor @merpreb",102,5101.388889,"['Constipation', 'Feeling Sick', 'Nausea']","[None, None, None]",['Nausea']
37,https://patient.info//forums/discuss/anyone-get-terrible-acid-reflux-after-having-covid--750660,covid vaccine and shingrix shots,ronindoman @ronindoman,8,401.3513514,"['Anorexia', 'Ataxia Telangiectasia', 'Gastroesophageal reflux disease', 'Fish-Eye Disease', 'Pharyngitis', 'Pneumonia', 'Xerostomia', 'Lower respiratory tract infection', 'Heartburn', 'Diarrhea', 'Chest Pain', 'Tired', 'Abdominal Pain', 'Severe diarrhea', 'Burning sensation', 'Pain', 'Stomach ache', 'Nausea', 'Abdominal bloating', 'Sore Throat', 'Eructation', 'Sore to touch', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Transection (procedure)', 'Severing', 'Liquid diet', 'Incision and drainage', 'Isolation procedure', None, None, None, None, None, None, None, None]",[None]
38,https://patient.info//forums/discuss/finally-negative-symptoms-still-lingering--753713,anyone have insomnia as symptom of covid-19?,mkqq @mkqq,36,1801.315789,"['Gastroesophageal reflux disease', 'Common Cold', 'Tired', 'Fatigue', 'Myalgia', 'Pain', 'feeling dizzy', 'Mastodynia', 'Nausea', 'Vertigo', 'feeling like vomiting', 'Dizziness', 'Hot flushes', 'Depressed - symptom', 'Night sweats', 'Chills', 'Dyspnea', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Group reassurance', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None]",[None]
39,https://patient.info//forums/discuss/parkinsonism-and-covid-19-754778,undetermined covid test,lmh963 @lmh963,10,501.2820513,"['Parkinsonian Disorders', 'Parkinson Disease', None, None]","[None, None, 'Reminding', None]",[None]
40,https://patient.info//forums/discuss/covid-9-symptoms-for-9-weeks-737081,hypermobile joints/eds and covid,healthhopefreedom @healthhopefreedom,8,401.25,"['Migraine Disorders', 'Sinusitis', 'Prediabetes syndrome', 'Communicable Diseases', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Fish-Eye Disease', 'Pneumonia', 'Conjunctivitis', 'Tonsillitis', 'Coronavirus Infections', 'Vitamin Deficiency', 'Autoimmune Diseases', 'Recurrent disease', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Exanthema', 'Fatigue', 'Burning sensation', 'Pain', 'Breathing abnormally deep', 'spells (neurological symptom)', 'Anosmia', 'Neck Pain', 'Nausea', 'Influenza-like symptoms', 'lump in throat', 'Earache', 'Arm Pain', 'Clouded consciousness', 'Chest Pain', 'out (of) breath', 'headache severe', 'Upset stomach', 'Back Pain', 'Tremor', 'Prickling sensation', 'Nasal congestion (finding)', 'Sore Throat', 'chest heaviness', 'skin color change', 'digestive problem', 'Signs and Symptoms', 'Glossalgia', 'Headache', 'Stinging Sensation', 'Skin symptom', 'Nose symptoms', 'Chest pressure', 'Exhaustion', 'Arthralgia', 'swollen glands in neck', 'Stomach ache', 'Has tingling sensation', 'Coughing', 'Pharyngeal dryness', 'Upper back pain', 'Ache', 'BODY ACHE', 'Myalgia', 'Rhinorrhea', 'Difficulty sleeping', 'Chest tightness', 'Dizziness', 'Weakness', 'Depressed - symptom', 'Frontal headache', 'Dyspnea', 'Sore to touch', 'Chills', 'Hoarseness', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Transjugular intrahepatic portosystemic shunt procedure', 'Drainage procedure', 'Meditation Therapy', 'Yoga', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', 'Spatial guidance for medical procedure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
41,https://patient.info//forums/discuss/someone-please-help-me--754706,without a vagus nerve & safety of getting covid19 vaccine,domernick @domernick,10,501.2195122,"['Diarrhea', 'Coughing', 'Sleeplessness', None, None, None]","[None, None, None, None, None, None]",[None]
42,https://patient.info//forums/discuss/covid-19-rash-4-weeks-later-754432,"questions about testing positive, quarantining with family members",shortney4 @shortney4,4,201.1904762,"['Prurigo', 'Exanthema', 'Pruritus', 'Muscle Cramp', None, None]","[None, None, None, None, None, None]",[None]
43,https://patient.info//forums/discuss/please-look-i-believe-my-mom-is-a-long-hauler-any-advice-or-comments-appreciated-754666,"""air"" full head protective mask",rseitzberg @rseitzberg,8,401.1627907,"['Cerebrovascular accident', 'Urinary tract infection', None, None]","[None, None, 'Physical therapy exercises', None]",[None]
44,https://patient.info//forums/discuss/test-postive-754634,how to keep moving when you can't go out to walk or get to the gym,"sue, volunteer mentor @sueinmn",58,2901.136364,"['Severe Acute Respiratory Syndrome', 'Clouded consciousness']","[None, None]",['Clouded consciousness']
45,https://patient.info//forums/discuss/covid-anosmia-no-smell-or-taste--752925,should you fly home to get the vaccine when its your turn?,jeannettepma5 @jeannettepma5,14,701.1111111,"['Pneumonia', 'Tired', 'taste sweet', 'Weakness', None]","[None, None, None, None, 'Therapeutic procedure']",[None]
46,https://patient.info//forums/discuss/positive-pcr-test-v-negative-lft-test-754269,social distancing and masks,"merry, volunteer mentor @merpreb",20,1001.086957,"['Communicable Diseases', None, None, None]","[None, 'Vaccination', 'Adult care', None]",[None]
47,https://patient.info//forums/discuss/dexamethasone-side-effects-754446,winter wellbeing: what are you doing this winter for you?,"colleen young, connect director @colleenyoung",34,1701.06383,"['Stomach ache', 'Exanthema', 'Pins and needles', 'Headache', 'Coughing', None, None, None]","[None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
48,https://patient.info//forums/discuss/covid-headaches-754325,fever clinics,khinmgm8 @khinmgm8,6,301.0416667,"['Morning headache', 'Headache']","[None, None]",['Headache']
49,https://patient.info//forums/discuss/symptoms-after-9-days--754094,"my spouse tested positive, now what?",tari4me @tari4me,20,1001.020408,"['BODY ACHE', 'Fatigue', 'Pain', 'Dyspnea', 'Vascular Diseases', 'Lung Diseases, Obstructive', 'BODY PAIN', 'Fatigue', 'Pain', 'Dyspnea', None]","[None, None, None, None, None, None, None, None, None, None, 'HAC protocol']",[None]
50,https://patient.info//forums/discuss/contact-and-intimacy-after-covid-754170,covid 19 antibodies and sex desire,trkeba @trkeba,8,401,"['Communicable Diseases', 'Anosmia', 'Coughing', None, None, None, None]","[None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Cardiac Lead Procedure', None]",[None]
51,https://patient.info//forums/discuss/covid-fever-for-13-straight-days--754155,do i have covid or is it some underlying condition?,mrbrandon @mrbrandon,26,1300.980392,"['Infectious disease of lung', ""Little's Disease"", 'Lung Diseases, Obstructive', 'Coughing', None, None, None, None]","[None, None, None, None, 'Treated with', 'Injection of therapeutic agent', 'Cardiac Lead Procedure', None]",[None]
52,https://patient.info//forums/discuss/medical-industry-covid-753918,covid-19 and ra,bbjones @bbjones,2,100.9615385,"['Subacute thyroiditis', 'Deep Vein Thrombosis', 'Lung Diseases, Obstructive', 'Exhaustion', None, None, None]","[None, None, None, None, None, None, None]",[None]
53,https://patient.info//forums/discuss/brother-iterminal-i-ll-with-cancer-can-i-visit-in-lockdown-s-753765,covid and celebrating alone changed my x-mas giving,fiesty76 @fiesty76,12,600.9433962,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hamman-Rich syndrome', 'Hepatorenal Syndrome', None, None]","[None, None, None, None, 'Modest-Temperature Hyperthermia', 'Universal Precautions']",[None]
54,https://patient.info//forums/discuss/gastroenteritis-753678,"as the pandemic spreads, so can our thanks",fiesty76 @fiesty76,26,1300.925926,"['Gastroesophageal reflux disease', 'Nausea', 'Abdominal bloating', None, None, None]","[None, None, None, None, None, None]",[None]
55,https://patient.info//forums/discuss/overwhelming-anxiety-from-covid-news-articles-753768,"""post-acute covid-19 syndrome""","merry, volunteer mentor @merpreb",4,200.9090909,"['cold symptoms', 'Lung Diseases, Obstructive', 'Coughing', None, None, None, None, None, None]","[None, None, None, 'Local anesthetic thoracic epidural block', 'Meditation Therapy', 'Thromboendarterectomy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
56,https://patient.info//forums/discuss/long-covid-rib-and-shoulder-pain-does-anyone-have-this-symptom-thanks-753777,quarantine period for infected children,mshamdann @mshamdann,8,400.8928571,"['Rib pain', 'Dyspnea', None]","[None, None, 'Modest-Temperature Hyperthermia']",[None]
57,https://patient.info//forums/discuss/should-my-mother-do-second-vaccine--753659,dr. fauci,"merry, volunteer mentor @merpreb",0,0.877192982,"['Malignant hyperpyrexia due to anesthesia', 'Nausea', 'Asthenia']","[None, None, None]",['Asthenia']
58,https://patient.info//forums/discuss/covid-still-hanging-on--753740,masks: how do you encourage people that they help?,tjdog @tjdog,96,4800.862069,"['Algoneurodystrophy', 'Exanthema', 'Dyssomnias', 'Lung Diseases, Obstructive', 'Hypotrichosis simplex', 'Acute gastroenteritis', 'Nausea', 'Pruritus', None, None]","[None, None, None, None, None, None, None, None, 'Excision of axillary lymph nodes', None]",[None]
59,https://patient.info//forums/discuss/12-weeks-out-and-i-m-dizzy-and-help--753702,hearing loss after covid,heatnor @heatnor,32,1600.847458,"['Dandy-Walker Syndrome', 'BODY PAIN', 'out (of) breath', 'Dizziness', 'Headache', 'Asthenia']","[None, None, None, None, None, None]",['Asthenia']
60,https://patient.info//forums/discuss/muscle-twitching-after-covid--753669,"common symptoms, no cough",daphne47 @daphne47,16,800.8333333,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Coronavirus Infections', 'Muscular fasciculation', 'Muscle twitch', None, None, None, None, None]","[None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None]",[None]
61,https://patient.info//forums/discuss/should-i-isolate--753612,my boss spread covid-19 intentionally,blueraven @blueraven,18,900.8196721,"['Gonorrhea', 'Geroderma osteodysplastica', None, None, None]","[None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure']",[None]
62,https://patient.info//forums/discuss/red-skin-marks-752844,grandmas and grandpas...opportunity knocks! ideas during covid,"chris trout, volunteer mentor @artscaping",124,6200.806452,"['Gonorrhea', 'Geroderma osteodysplastica', 'Punctate inner choroidopathy', 'Hay fever', 'Pharyngitis', 'Exanthema', 'Skin Diseases, Infectious', 'Dermatitis', 'Rhinorrhea', 'Nausea', 'Sore mouth', 'Sore Throat', 'Pruritus', 'red blotches', 'Coughing', 'Pain', 'Nervousness', 'Burning feet', 'Erythema', None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Directly Observed Therapy', None, None, None, None, None, None, None, None, None, None]",[None]
63,https://patient.info//forums/discuss/chest-pain-for-10-days-751407,covid and the end of daylight savings time,"merry, volunteer mentor @merpreb",48,2400.793651,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Hypertensive disease', 'Amyotrophic Lateral Sclerosis, Sporadic', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'CONOTRUNCAL ANOMALY FACE SYNDROME', 'Disease', 'Chest Pain', 'Ache', 'Chest tightness', 'Pain in left shoulder', 'Pain', 'Arm Pain', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Ligamentous articular strain technique', 'Stretching exercises', 'Bathing', None, None, None, None, None, None, None, None, None, None]",[None]
64,https://patient.info//forums/discuss/38-with-covid-i-m-scared-to-death-751864,dr. fauci,"merry, volunteer mentor @merpreb",0,0.78125,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'BODY PAIN', 'Slow respiration', 'Pain', 'Breathing abnormally deep', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, 'Meditation Therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Calming', None, None, None, None]",[None]
